ID,distinctDateCount,composerName,Label
"Adams,  John",70,"Adams,  John","Adams,  John"
"Albeniz [Albéniz],  Isaac",46,"Albeniz [Albéniz],  Isaac","Albeniz [Albéniz],  Isaac"
"Anthem,",327,"Anthem,","Anthem,"
"Bach,  Johann  Sebastian",995,"Bach,  Johann  Sebastian","Bach,  Johann  Sebastian"
"Barber,  Samuel",282,"Barber,  Samuel","Barber,  Samuel"
"Bartok [Bartók],  Béla",533,"Bartok [Bartók],  Béla","Bartok [Bartók],  Béla"
"Beethoven,  Ludwig  van",2969,"Beethoven,  Ludwig  van","Beethoven,  Ludwig  van"
"Berg,  Alban",174,"Berg,  Alban","Berg,  Alban"
"Berlioz,  Hector",794,"Berlioz,  Hector","Berlioz,  Hector"
"Bernstein,  Leonard",457,"Bernstein,  Leonard","Bernstein,  Leonard"
"Bizet,  Georges",220,"Bizet,  Georges","Bizet,  Georges"
"Bloch,  Ernest",97,"Bloch,  Ernest","Bloch,  Ernest"
"Boccherini,  Luigi",47,"Boccherini,  Luigi","Boccherini,  Luigi"
"Borodin,  Alexander",85,"Borodin,  Alexander","Borodin,  Alexander"
"Boulez,  Pierre",36,"Boulez,  Pierre","Boulez,  Pierre"
"Brahms,  Johannes",1709,"Brahms,  Johannes","Brahms,  Johannes"
"Britten,  Benjamin",210,"Britten,  Benjamin","Britten,  Benjamin"
"Bruch,  Max",225,"Bruch,  Max","Bruch,  Max"
"Bruckner,  Anton",309,"Bruckner,  Anton","Bruckner,  Anton"
"Carter,  Elliott",61,"Carter,  Elliott","Carter,  Elliott"
"Casella,  Alfredo",36,"Casella,  Alfredo","Casella,  Alfredo"
"Chabrier,  Emmanuel",85,"Chabrier,  Emmanuel","Chabrier,  Emmanuel"
"Chadwick,  George  Whitefield",35,"Chadwick,  George  Whitefield","Chadwick,  George  Whitefield"
"Charpentier,  Gustave",35,"Charpentier,  Gustave","Charpentier,  Gustave"
"Chausson,  Ernest",58,"Chausson,  Ernest","Chausson,  Ernest"
"Cherubini,  Luigi",64,"Cherubini,  Luigi","Cherubini,  Luigi"
"Chopin,  Frédéric",271,"Chopin,  Frédéric","Chopin,  Frédéric"
"Copland,  Aaron",502,"Copland,  Aaron","Copland,  Aaron"
"Corelli,  Arcangelo",35,"Corelli,  Arcangelo","Corelli,  Arcangelo"
"Corigliano,  John, Jr.",50,"Corigliano,  John, Jr.","Corigliano,  John, Jr."
"Debussy,  Claude",628,"Debussy,  Claude","Debussy,  Claude"
"Delius,  Frederick",69,"Delius,  Frederick","Delius,  Frederick"
"Donizetti,  Gaetano",42,"Donizetti,  Gaetano","Donizetti,  Gaetano"
"Druckman,  Jacob",40,"Druckman,  Jacob","Druckman,  Jacob"
"Dukas,  Paul",148,"Dukas,  Paul","Dukas,  Paul"
"Dutilleux,  Henri",44,"Dutilleux,  Henri","Dutilleux,  Henri"
"Dvorak,  Antonín",936,"Dvorak,  Antonín","Dvorak,  Antonín"
"Elgar,  Sir  Edward",257,"Elgar,  Sir  Edward","Elgar,  Sir  Edward"
"Ellington,  Duke",60,"Ellington,  Duke","Ellington,  Duke"
"Falla,  Manuel  de",228,"Falla,  Manuel  de","Falla,  Manuel  de"
"Faure [Fauré],  Gabriel-Urbain",94,"Faure [Fauré],  Gabriel-Urbain","Faure [Fauré],  Gabriel-Urbain"
"Foss,  Lukas",54,"Foss,  Lukas","Foss,  Lukas"
"Franck,  César",212,"Franck,  César","Franck,  César"
"Gabrieli,  Giovanni",39,"Gabrieli,  Giovanni","Gabrieli,  Giovanni"
"Gershwin,  George",305,"Gershwin,  George","Gershwin,  George"
"Ginastera,  Alberto",46,"Ginastera,  Alberto","Ginastera,  Alberto"
"Glazunov,  Alexander",99,"Glazunov,  Alexander","Glazunov,  Alexander"
"Glinka,  Mikhail",113,"Glinka,  Mikhail","Glinka,  Mikhail"
"Gluck,  Christoph  Willibald",76,"Gluck,  Christoph  Willibald","Gluck,  Christoph  Willibald"
"Goldmark,  Karl",74,"Goldmark,  Karl","Goldmark,  Karl"
"Gould,  Morton",62,"Gould,  Morton","Gould,  Morton"
"Gounod,  Charles",43,"Gounod,  Charles","Gounod,  Charles"
"Grieg,  Edvard",242,"Grieg,  Edvard","Grieg,  Edvard"
"Griffes,  Charles  Tomlinson",36,"Griffes,  Charles  Tomlinson","Griffes,  Charles  Tomlinson"
"Gubaidulina,  Sofia",35,"Gubaidulina,  Sofia","Gubaidulina,  Sofia"
"Hadley,  Henry  Kimball",58,"Hadley,  Henry  Kimball","Hadley,  Henry  Kimball"
"Handel,  George  Frideric",404,"Handel,  George  Frideric","Handel,  George  Frideric"
"Harris,  Roy",80,"Harris,  Roy","Harris,  Roy"
"Haydn,  Franz  Joseph",913,"Haydn,  Franz  Joseph","Haydn,  Franz  Joseph"
"Herbert,  Victor",45,"Herbert,  Victor","Herbert,  Victor"
"Hindemith,  Paul",206,"Hindemith,  Paul","Hindemith,  Paul"
"Holst,  Gustav",48,"Holst,  Gustav","Holst,  Gustav"
"Honegger,  Arthur",75,"Honegger,  Arthur","Honegger,  Arthur"
"Humperdinck,  Engelbert",44,"Humperdinck,  Engelbert","Humperdinck,  Engelbert"
"Ibert,  Jacques",52,"Ibert,  Jacques","Ibert,  Jacques"
"Indy,  Vincent  d'",40,"Indy,  Vincent  d'","Indy,  Vincent  d'"
"Ippolitov-Ivanov,  Mikhail",36,"Ippolitov-Ivanov,  Mikhail","Ippolitov-Ivanov,  Mikhail"
"Ives,  Charles",195,"Ives,  Charles","Ives,  Charles"
"Janacek [Janácek],  Leoš",78,"Janacek [Janácek],  Leoš","Janacek [Janácek],  Leoš"
"Kabalevsky,  Dmitri",43,"Kabalevsky,  Dmitri","Kabalevsky,  Dmitri"
"Kern,  Jerome",39,"Kern,  Jerome","Kern,  Jerome"
"Khachaturian,  Aram",85,"Khachaturian,  Aram","Khachaturian,  Aram"
"Kodaly [Kodály],  Zoltán",122,"Kodaly [Kodály],  Zoltán","Kodaly [Kodály],  Zoltán"
"Korngold,  Erich",48,"Korngold,  Erich","Korngold,  Erich"
"Lalo,  Edouard",141,"Lalo,  Edouard","Lalo,  Edouard"
"Lehar [Lehár],  Franz",59,"Lehar [Lehár],  Franz","Lehar [Lehár],  Franz"
"Ligeti,  György [Gyorgy]",62,"Ligeti,  György [Gyorgy]","Ligeti,  György [Gyorgy]"
"Lindberg,  Magnus",56,"Lindberg,  Magnus","Lindberg,  Magnus"
"Liszt,  Franz",687,"Liszt,  Franz","Liszt,  Franz"
"Lutoslawski,  Witold",44,"Lutoslawski,  Witold","Lutoslawski,  Witold"
"Lyadov,  Anatoli",53,"Lyadov,  Anatoli","Lyadov,  Anatoli"
"MacDowell,  Edward  A.",69,"MacDowell,  Edward  A.","MacDowell,  Edward  A."
"Mahler,  Gustav",656,"Mahler,  Gustav","Mahler,  Gustav"
"Martinu,  Bohuslav",57,"Martinu,  Bohuslav","Martinu,  Bohuslav"
"Massenet,  Jules",64,"Massenet,  Jules","Massenet,  Jules"
"Mendelssohn,  Felix",963,"Mendelssohn,  Felix","Mendelssohn,  Felix"
"Menotti,  Gian  Carlo",42,"Menotti,  Gian  Carlo","Menotti,  Gian  Carlo"
"Messiaen,  Olivier",64,"Messiaen,  Olivier","Messiaen,  Olivier"
"Milhaud,  Darius",67,"Milhaud,  Darius","Milhaud,  Darius"
"Mozart,  Wolfgang  Amadeus",2255,"Mozart,  Wolfgang  Amadeus","Mozart,  Wolfgang  Amadeus"
"Musorgsky,  Modest",312,"Musorgsky,  Modest","Musorgsky,  Modest"
"Nielsen,  Carl",88,"Nielsen,  Carl","Nielsen,  Carl"
"Offenbach,  Jacques",54,"Offenbach,  Jacques","Offenbach,  Jacques"
"Paganini,  Nicolò",91,"Paganini,  Nicolò","Paganini,  Nicolò"
"Penderecki,  Krzysztof",37,"Penderecki,  Krzysztof","Penderecki,  Krzysztof"
"Piston,  Walter",52,"Piston,  Walter","Piston,  Walter"
"Pollack,  Lew",45,"Pollack,  Lew","Pollack,  Lew"
"Poulenc,  Francis",70,"Poulenc,  Francis","Poulenc,  Francis"
"Prokofiev,  Sergei",762,"Prokofiev,  Sergei","Prokofiev,  Sergei"
"Puccini,  Giacomo",111,"Puccini,  Giacomo","Puccini,  Giacomo"
"Purcell,  Henry",65,"Purcell,  Henry","Purcell,  Henry"
"Rachmaninoff,  Sergei",597,"Rachmaninoff,  Sergei","Rachmaninoff,  Sergei"
"Ravel,  Maurice",965,"Ravel,  Maurice","Ravel,  Maurice"
"Reger,  Max",47,"Reger,  Max","Reger,  Max"
"Respighi,  Ottorino",142,"Respighi,  Ottorino","Respighi,  Ottorino"
"Rimsky-Korsakov,  Nikolai",411,"Rimsky-Korsakov,  Nikolai","Rimsky-Korsakov,  Nikolai"
"Rodgers,  Richard",54,"Rodgers,  Richard","Rodgers,  Richard"
"Rossini,  Gioachino",313,"Rossini,  Gioachino","Rossini,  Gioachino"
"Rouse,  Christopher",69,"Rouse,  Christopher","Rouse,  Christopher"
"Roussel,  Albert",66,"Roussel,  Albert","Roussel,  Albert"
"Rubinstein,  Anton",82,"Rubinstein,  Anton","Rubinstein,  Anton"
"Saint-Saens [Saint-Saëns],  Camille",524,"Saint-Saens [Saint-Saëns],  Camille","Saint-Saens [Saint-Saëns],  Camille"
"Salonen,  Esa-Pekka",42,"Salonen,  Esa-Pekka","Salonen,  Esa-Pekka"
"Schelling,  Ernest",69,"Schelling,  Ernest","Schelling,  Ernest"
"Schoenberg,  Arnold",195,"Schoenberg,  Arnold","Schoenberg,  Arnold"
"Schubert,  Franz",709,"Schubert,  Franz","Schubert,  Franz"
"Schuller,  Gunther",43,"Schuller,  Gunther","Schuller,  Gunther"
"Schuman,  William",146,"Schuman,  William","Schuman,  William"
"Schumann,  Robert",886,"Schumann,  Robert","Schumann,  Robert"
"Scriabin,  Alexander",75,"Scriabin,  Alexander","Scriabin,  Alexander"
"Shostakovich,  Dmitri",457,"Shostakovich,  Dmitri","Shostakovich,  Dmitri"
"Sibelius,  Jean",577,"Sibelius,  Jean","Sibelius,  Jean"
"Smetana,  Bedrich",194,"Smetana,  Bedrich","Smetana,  Bedrich"
"Sousa,  John  Philip",157,"Sousa,  John  Philip","Sousa,  John  Philip"
"Spohr,  Louis",41,"Spohr,  Louis","Spohr,  Louis"
"Strauss,  Johann, II",257,"Strauss,  Johann, II","Strauss,  Johann, II"
"Strauss,  Richard",1235,"Strauss,  Richard","Strauss,  Richard"
"Stravinsky,  Igor",772,"Stravinsky,  Igor","Stravinsky,  Igor"
"Szymanowski,  Karol",59,"Szymanowski,  Karol","Szymanowski,  Karol"
"Tchaikovsky,  Pyotr  Ilyich",1834,"Tchaikovsky,  Pyotr  Ilyich","Tchaikovsky,  Pyotr  Ilyich"
"Thomson,  Virgil",46,"Thomson,  Virgil","Thomson,  Virgil"
"Traditional,",300,"Traditional,","Traditional,"
"Varese [Varèse],  Edgard",53,"Varese [Varèse],  Edgard","Varese [Varèse],  Edgard"
"Vaughan Williams,  Ralph",137,"Vaughan Williams,  Ralph","Vaughan Williams,  Ralph"
"Verdi,  Giuseppe",225,"Verdi,  Giuseppe","Verdi,  Giuseppe"
"Vieuxtemps,  Henri",39,"Vieuxtemps,  Henri","Vieuxtemps,  Henri"
"Villa-Lobos,  Heitor",63,"Villa-Lobos,  Heitor","Villa-Lobos,  Heitor"
"Vivaldi,  Antonio",216,"Vivaldi,  Antonio","Vivaldi,  Antonio"
"Wagner,  Richard",1441,"Wagner,  Richard","Wagner,  Richard"
"Walton,  William",116,"Walton,  William","Walton,  William"
"Weber,  Carl  Maria Von",606,"Weber,  Carl  Maria Von","Weber,  Carl  Maria Von"
"Webern,  Anton  von",138,"Webern,  Anton  von","Webern,  Anton  von"
"Weill,  Kurt",38,"Weill,  Kurt","Weill,  Kurt"
"Wolf,  Hugo",36,"Wolf,  Hugo","Wolf,  Hugo"
"Wolf-Ferrari,  Ermanno",40,"Wolf-Ferrari,  Ermanno","Wolf-Ferrari,  Ermanno"
